Title	URL	Assignees	Status	Estimated size	Real size	Sprint	Priority
Adjust DB Schema to Store Key Information	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/191		Product Backlog	3			
Populate Category Dropdown with Actual Categories	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/211		Product Backlog				
Limit Organization Access for Users	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/212	bastydjamen	Product Backlog				
Auto-Extract Key Information for a Document	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/214		Product Backlog				
Display Key Information on File View Page	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/213		Product Backlog				
Secure Production Environment: Public Access Limited to Frontend and Backend API	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/180		Product Backlog				
Refactor Repository Structure and Cleanup	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/152		Product Backlog				
Remove FastAPI Proxy and Connect C# Backend Directly to Ollama	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/155	SyedAffan10	Product Backlog				
Remove Default /weatherforecast Endpoint from Backend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/153	so77nava	Product Backlog				
Enhance User, (Technical) Design and Build/Deploy Documentation	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/129		Product Backlog				
Update Bill of Materials with New Dependencies	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/87		Sprint Backlog	1		Sprint 6	
Enforce HTTPS on Production Server	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/98	so77nava	In Progress	3		Sprint 7	
Auto-Detect Document Category from Uploaded Document	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/192	SyedAffan10	In Progress	3		Sprint 10	
Enhance the Frontend Design	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/135	arpita739	In Progress	5		Sprint 10	
Auto-Detect Building from Uploaded Document Content	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/157	SyedAffan10	Awaiting Review	8		Sprint 8	
Bug: Inject correct API_URL in Frontend Production	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/162	kamsur	Awaiting Review	8		Sprint 9	
