Title	URL	Assignees	Status	Estimated size	Real size	Sprint	Priority
Enhance the Frontend Design	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/135	arpita739	Product Backlog				
Auto-Detect Document Category from Uploaded Document	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/192		Product Backlog				
Create GET Endpoint for document categories	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/193		Product Backlog				
Adjust DB Schema to Store Key Information	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/191		Product Backlog				
Secure Production Environment: Public Access Limited to Frontend and Backend API	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/180		Product Backlog				
Refactor Repository Structure and Cleanup	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/152		Product Backlog				
Remove FastAPI Proxy and Connect C# Backend Directly to Ollama	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/155	SyedAffan10	Product Backlog				
Remove Default /weatherforecast Endpoint from Backend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/153		Product Backlog				
Enhance User, (Technical) Design and Build/Deploy Documentation	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/129		Product Backlog				
Implement User Authentication in Backend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/101	masum-abid	Sprint Backlog	5		Sprint 7	
Update Bill of Materials with New Dependencies	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/87		Sprint Backlog	1		Sprint 6	
Enable Building and Category Change from Document View	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/178		Sprint Backlog	5		Sprint 9	
Display Stored Documents and Buildings in the Document Explorer	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/95	masum-abid	In Progress	3		Sprint 7	
Enforce HTTPS on Production Server	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/98	so77nava	In Progress	3		Sprint 7	
Implement OCR using Tika service	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/160	arpita739	In Progress	8		Sprint 9	
Implement Session-Based Authentication for Frontend	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/159	bastydjamen	In Progress	5		Sprint 9	
Bug: Inject correct API_URL in Frontend Production	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/162	kamsur	In Progress	8		Sprint 9	
Refactor Building Entity to Use Structured Address Fields	https://github.com/amosproj/amos2025ss02-building-documentation-management-system/issues/156	so77nava	Awaiting Review	8		Sprint 8	
